########################################### ARQUIVO DE LOG DE TRATAMENTO DO RETORNO ###########################################
##  ARQUIVO 3094_00327964_20170504_C400_00.ret
##  Data 04/05/2017

00000 ## COMPENSADO ## TITULO Nº 177 -  - 
00001 ## COMPENSADO ## TITULO Nº 142 -  - 
00002 ## COMPENSADO ## TITULO Nº 2140 -  | PARCELA POSSUI PROCEDIMENTO. - 
00003 ## COMPENSADO ## TITULO Nº 1852 -  | PARCELA POSSUI PROCEDIMENTO. - 
00004 ## COMPENSADO ## TITULO Nº 793 -  - 
00005 ## COMPENSADO ## TITULO Nº 371 -  - 
00006 ## COMPENSADO ## TITULO Nº 190 -  - 
00007 ## COMPENSADO ## TITULO Nº 745 -  - 
00008 ## COMPENSADO ## TITULO Nº 2236 -  - 
00009 ## COMPENSADO ## TITULO Nº 1201 -  - 
