########################################### ARQUIVO DE LOG DE TRATAMENTO DO RETORNO ###########################################
##  ARQUIVO COBST_IJPJ_02_020217P_MOV.TXT
##  Data 15/03/2017

00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00000000
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00000000
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00000000
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00000000
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00000000
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00000000
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00000000
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00000000
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00000000
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00000000
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00000000
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00000000
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00000000
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00000000
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00000000
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00000000
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00000000
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00000000
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00000000
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00000000
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00000000
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00000000
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00000000
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00000000
